bio_id,name,chamber,party,twitter_accounts_json,birthday,gender
M001199,Brian Mast,house,R,"[{""id"": ""3170031728"", ""screen_name"": ""BrianMastFL"", ""account_type"": ""campaign""}, {""id"": ""814103950404239360"", ""screen_name"": ""RepBrianMast"", ""account_type"": ""office""}]",1980-07-10,M
D000032,Byron Donalds,house,R,"[{""id"": ""96015533"", ""screen_name"": ""ByronDonalds"", ""account_type"": ""campaign""}, {""screen_name"": ""RepDonaldsPress"", ""id"": ""1343968646050283522"", ""account_type"": ""office"", ""prev_names"": [""RepByronDonalds""]}]",1978-10-28,M
C001107,Carlos Curbelo,house,R,"[{""id"": ""1177437224"", ""screen_name"": ""CLCurbelo"", ""account_type"": ""campaign"", ""prev_names"": [""carloslcurbelo""]}, {""id"": ""2853309155"", ""screen_name"": ""RepCurbelo"", ""account_type"": ""office""}]",1980-03-01,M
G000593,Carlos Gimenez,house,R,"[{""screen_name"": ""RepCarlos"", ""id"": ""1343679195034103808"", ""account_type"": ""office""}, {""id"": ""1217185399166074885"", ""screen_name"": ""CarlosGimenezFL"", ""account_type"": ""campaign""}]",1954-01-17,M
C001111,Charlie Crist,house,D,"[{""id"": ""38970940"", ""screen_name"": ""CharlieCrist"", ""account_type"": ""campaign""}, {""id"": ""816030424778543104"", ""screen_name"": ""RepCharlieCrist"", ""account_type"": ""office""}]",1956-07-24,M
W000806,Daniel Webster,house,R,"[{""id"": ""136526394"", ""screen_name"": ""WebsterCongress"", ""account_type"": ""campaign""}, {""id"": ""281540744"", ""screen_name"": ""RepWebster"", ""account_type"": ""office""}]",1949-04-27,M
S001200,Darren Soto,house,D,"[{""id"": ""1730030220"", ""screen_name"": ""DarrenSoto"", ""account_type"": ""campaign""}, {""id"": ""818713465653051392"", ""screen_name"": ""RepDarrenSoto"", ""account_type"": ""office""}]",1978-02-25,M
M001207,Debbie Mucarsel-Powell,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepDMP"", ""id"": ""1080941062028447744""}, {""account_type"": ""campaign"", ""screen_name"": ""DebbieforFL"", ""id"": ""750046943905058816""}]",1971-01-18,F
W000797,Debbie Wasserman Schultz,house,D,"[{""id"": ""115979444"", ""screen_name"": ""DWStweets"", ""account_type"": ""campaign""}, {""id"": ""1140648348"", ""screen_name"": ""RepDWStweets"", ""account_type"": ""office""}]",1966-09-27,F
R000593,Dennis A. Ross,house,R,"[{""id"": ""33655490"", ""screen_name"": ""RepDennisRoss"", ""account_type"": ""office""}]",1959-10-18,M
S001206,Donna Shalala,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepShalala"", ""id"": ""1060584809095925762"", ""deleted"": true}, {""account_type"": ""campaign"", ""screen_name"": ""DonnaShalala"", ""id"": ""737719829579345920""}]",1941-02-14,F
R000607,Francis Rooney,house,R,"[{""id"": ""816111677917851649"", ""screen_name"": ""RepRooney"", ""account_type"": ""office""}, {""id"": ""4433285713"", ""screen_name"": ""FrancisRooney"", ""account_type"": ""campaign""}]",1953-12-04,M
W000808,Frederica Wilson,house,D,"[{""id"": ""234014087"", ""screen_name"": ""RepWilson"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""TeamFSWilson"", ""id"": ""3667668735""}]",1942-11-05,F
S001214,Greg Steube,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""gregsteube"", ""id"": ""21924842""}, {""account_type"": ""office"", ""screen_name"": ""RepGregSteube"", ""id"": ""1083125649609506816""}]",1978-05-19,M
B001257,Gus Bilirakis,house,R,"[{""id"": ""26051676"", ""screen_name"": ""RepGusBilirakis"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""Bilirakis"", ""id"": ""95236960""}]",1963-02-08,M
R000435,Ileana Ros-Lehtinen,house,R,"[{""id"": ""5511752"", ""screen_name"": ""RosLehtinenCamp"", ""account_type"": ""campaign""}, {""id"": ""14275291"", ""screen_name"": ""RosLehtinen"", ""account_type"": ""office""}]",1952-07-15,F
R000609,John Rutherford,house,R,"[{""id"": ""828977216595849216"", ""screen_name"": ""RepRutherfordFL"", ""account_type"": ""office""}, {""id"": ""733672650120253440"", ""screen_name"": ""JRutherfordFL"", ""account_type"": ""campaign""}]",1952-09-02,M
C001039,Katherine Cammack,house,R,"[{""screen_name"": ""RepKatCammack"", ""id"": ""1344325638983987201"", ""account_type"": ""office""}, {""id"": ""1214912699311837184"", ""screen_name"": ""Kat_Cammack"", ""account_type"": ""campaign""}]",1988-02-16,F
C001066,Kathy Castor,house,D,"[{""id"": ""1880674038"", ""screen_name"": ""USRepKCastor"", ""account_type"": ""office""}, {""id"": ""756123897783808000"", ""screen_name"": ""KathyCastorFL"", ""account_type"": ""campaign""}]",1966-08-20,F
F000462,Lois Frankel,house,D,"[{""id"": ""349296252"", ""screen_name"": ""LoisFrankel"", ""account_type"": ""campaign""}, {""id"": ""1077121945"", ""screen_name"": ""RepLoisFrankel"", ""account_type"": ""office""}]",1948-05-16,F
S000168,Maria Salazar,house,R,"[{""id"": ""40282700"", ""screen_name"": ""MaElviraSalazar"", ""account_type"": ""campaign""}, {""screen_name"": ""RepMariaSalazar"", ""id"": ""1325928411689349120"", ""account_type"": ""office""}]",1961-11-01,M
D000600,Mario Diaz-Balart,house,R,"[{""id"": ""37094727"", ""screen_name"": ""MarioDB"", ""account_type"": ""office""}, {""id"": ""374816353"", ""screen_name"": ""MarioDBCamp"", ""account_type"": ""campaign""}]",1961-09-25,M
G000578,Matt Gaetz,house,R,"[{""id"": ""58579942"", ""screen_name"": ""mattgaetz"", ""account_type"": ""campaign""}, {""id"": ""818948638890217473"", ""screen_name"": ""RepMattGaetz"", ""account_type"": ""office""}]",1982-05-07,M
W000823,Michael Waltz,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""michaelgwaltz"", ""id"": ""833673914""}, {""account_type"": ""office"", ""screen_name"": ""RepWaltzPress"", ""id"": ""1082416697380913152"", ""prev_names"": [""RepWaltz"", ""RepMichaelWaltz""]}]",1974-01-31,M
D000628,Neal Dunn,house,R,"[{""id"": ""2288520312"", ""screen_name"": ""DrNealDunn"", ""account_type"": ""campaign""}, {""id"": ""3433189197"", ""screen_name"": ""DunnCampaign"", ""account_type"": ""campaign""}, {""id"": ""815952318487298048"", ""screen_name"": ""DrNealDunnFL2"", ""account_type"": ""office""}]",1953-02-16,M
D000621,Ron DeSantis,house,R,"[{""id"": ""487297085"", ""screen_name"": ""RonDeSantisFL"", ""account_type"": ""campaign""}, {""id"": ""1058807868"", ""screen_name"": ""RepDeSantis"", ""account_type"": ""office""}]",1978-09-14,M
S001210,Ross Spano,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""RossSpano"", ""id"": ""605615715""}, {""account_type"": ""office"", ""screen_name"": ""RepRossSpano"", ""id"": ""1090328229548826627""}]",1966-07-16,M
F000472,Scott Franklin,house,R,"[{""screen_name"": ""RepFranklin"", ""id"": ""1343664721384398849"", ""account_type"": ""office""}, {""id"": ""1247958910025203712"", ""screen_name"": ""ScottFranklinFL"", ""account_type"": ""campaign""}]",1964-08-23,M
M001202,Stephanie Murphy,house,D,"[{""id"": ""796183515998068736"", ""screen_name"": ""RepStephMurphy"", ""account_type"": ""office""}, {""id"": ""745372686596120576"", ""screen_name"": ""SMurphyCongress"", ""account_type"": ""campaign""}]",1978-09-16,F
D000610,Ted Deutch,house,D,"[{""id"": ""65541270"", ""screen_name"": ""TedDeutch"", ""account_type"": ""campaign""}, {""id"": ""82696064"", ""screen_name"": ""TedforCongress"", ""account_type"": ""campaign""}, {""id"": ""137794015"", ""screen_name"": ""RepTedDeutch"", ""account_type"": ""office""}]",1966-05-07,M
Y000065,Ted Yoho,house,R,"[{""id"": ""274164368"", ""screen_name"": ""TedYoho"", ""account_type"": ""campaign""}, {""id"": ""1071900114"", ""screen_name"": ""RepTedYoho"", ""account_type"": ""office""}]",1955-04-13,M
R000583,Tom Rooney,house,R,"[{""id"": ""23970171"", ""screen_name"": ""TomRooney"", ""account_type"": ""office""}, {""id"": ""68986943"", ""screen_name"": ""Rooney4Congress"", ""account_type"": ""campaign""}]",1970-11-21,M
D000627,Val Demings,house,D,"[{""id"": ""3404875323"", ""screen_name"": ""val_demings"", ""account_type"": ""campaign""}, {""id"": ""798973032362606600"", ""screen_name"": ""RepValDemings"", ""account_type"": ""office""}]",1957-03-12,F
B001260,Vern Buchanan,house,R,"[{""id"": ""20467163"", ""screen_name"": ""VernBuchanan"", ""account_type"": ""office""}, {""id"": ""41403889"", ""screen_name"": ""Vern2014"", ""account_type"": ""campaign""}]",1951-05-08,M
S001189,Austin Scott,house,R,"[{""id"": ""31191969"", ""screen_name"": ""AustinScott4GA"", ""account_type"": ""campaign"", ""prev_names"": [""ScottForGA""]}, {""id"": ""234797704"", ""screen_name"": ""AustinScottGA08"", ""account_type"": ""office""}]",1969-12-10,M
L000583,Barry Loudermilk,house,R,"[{""id"": ""586191770"", ""screen_name"": ""standwithbarry"", ""account_type"": ""campaign""}, {""id"": ""2914163523"", ""screen_name"": ""RepLoudermilk"", ""account_type"": ""office""}]",1963-12-22,M
C001103,Buddy Carter,house,R,"[{""id"": ""295712099"", ""screen_name"": ""Buddy_Carter"", ""account_type"": ""campaign""}, {""id"": ""1406691746"", ""screen_name"": ""Carter4Congress"", ""account_type"": ""campaign""}, {""id"": ""2973870195"", ""screen_name"": ""RepBuddyCarter"", ""account_type"": ""office""}]",1957-09-06,M
B001312,Carolyn Bourdeaux,house,D,"[{""screen_name"": ""RepBourdeaux"", ""id"": ""1343620645452595200"", ""account_type"": ""office""}, {""id"": ""881222783170228224"", ""screen_name"": ""Carolyn4GA7"", ""account_type"": ""campaign""}]",1970-06-03,F
S001157,David Scott,house,D,"[{""id"": ""168673083"", ""screen_name"": ""repdavidscott"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""Electdavidscott"", ""id"": ""170341758""}]",1945-06-27,M
C001093,Doug Collins,house,R,"[{""id"": ""343358379"", ""screen_name"": ""CollinsforGA"", ""account_type"": ""campaign"", ""prev_names"": [""Douglas_Collins""]}, {""id"": ""1060487274"", ""screen_name"": ""RepDougCollins"", ""account_type"": ""office""}]",1966-08-16,M
F000465,Drew Ferguson,house,R,"[{""id"": ""806583915012046854"", ""screen_name"": ""RepDrewFerguson"", ""account_type"": ""office""}, {""id"": ""694984534249594882"", ""screen_name"": ""DrewFergusonGA"", ""account_type"": ""campaign""}]",1966-11-15,M
J000288,Hank Johnson,house,D,"[{""id"": ""24745957"", ""screen_name"": ""RepHankJohnson"", ""account_type"": ""office""}, {""id"": ""97583689"", ""screen_name"": ""ReElectHank"", ""account_type"": ""campaign""}]",1954-10-02,M
H001071,Jody Hice,house,R,"[{""id"": ""130003817"", ""screen_name"": ""jodyhice"", ""account_type"": ""campaign""}, {""id"": ""2975091705"", ""screen_name"": ""CongressmanHice"", ""account_type"": ""office""}]",1960-04-22,M
L000287,John Lewis,house,D,"[{""id"": ""29450962"", ""screen_name"": ""repjohnlewis"", ""account_type"": ""office""}]",1940-02-21,M
H001078,Karen Handel,house,R,"[{""id"": ""15673703"", ""screen_name"": ""karenhandel"", ""account_type"": ""campaign""}, {""id"": ""1439768856"", ""screen_name"": ""TeamHandel"", ""account_type"": ""campaign""}, {""id"": ""911302336307490816"", ""screen_name"": ""RepKHandel"", ""account_type"": ""office""}]",1962-04-18,F
H001092,Kwanza Hall,house,D,"[{""id"": ""8630792"", ""screen_name"": ""kwanzahall"", ""account_type"": ""campaign""}]",1971-05-01,M
M001208,Lucy McBath,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""lucymcbath_"", ""id"": ""332304361""}, {""account_type"": ""office"", ""screen_name"": ""replucymcbath"", ""id"": ""1082380458976051202""}, {""account_type"": ""campaign"", ""screen_name"": ""lucymcbath"", ""id"": ""947956236804337664""}]",1960-06-01,F
G000596,Marjorie Greene,house,R,"[{""screen_name"": ""RepMTG"", ""id"": ""1344356576786866176"", ""account_type"": ""office""}, {""id"": ""826065164504006657"", ""screen_name"": ""mtgreenee"", ""account_type"": ""campaign""}]",1974-05-27,F
W000788,Nikema Williams,house,D,"[{""id"": ""36424664"", ""screen_name"": ""NikemaWilliams"", ""account_type"": ""campaign""}, {""screen_name"": ""RepNikema"", ""id"": ""1345461797361504259"", ""account_type"": ""office""}]",1978-07-30,F
A000372,Rick W. Allen,house,R,"[{""id"": ""385111151"", ""screen_name"": ""rickallen"", ""account_type"": ""campaign""}, {""id"": ""2964287128"", ""screen_name"": ""RepRickAllen"", ""account_type"": ""office""}]",1951-11-07,M
W000810,Rob Woodall,house,R,"[{""id"": ""2382685057"", ""screen_name"": ""RepRobWoodall"", ""account_type"": ""office""}, {""id"": ""4886662606"", ""screen_name"": ""WoodallGA"", ""account_type"": ""campaign"", ""deleted"": true}]",1970-02-11,M
B000490,Sanford Bishop,house,D,"[{""id"": ""249410485"", ""screen_name"": ""SanfordBishop"", ""account_type"": ""office""}]",1947-02-04,M
G000560,Tom Graves,house,R,"[{""id"": ""24852012"", ""screen_name"": ""TomGravesGA14"", ""account_type"": ""campaign""}, {""id"": ""190328374"", ""screen_name"": ""RepTomGraves"", ""account_type"": ""office""}]",1970-02-03,M
S001204,Michael San Nicolas,house,D,"[{""id"": ""346509049"", ""screen_name"": ""GuamCongressman"", ""account_type"": ""office"", ""name"": ""Michael San Nicolas"", ""type"": ""member"", ""chamber"": ""house""}]",1981-01-30,M
H001050,Colleen Hanabusa,house,D,"[{""id"": ""28479007"", ""screen_name"": ""ColleenHanabusa"", ""account_type"": ""campaign""}, {""id"": ""235373000"", ""screen_name"": ""RepHanabusa"", ""account_type"": ""office""}]",1951-05-04,F
C001055,Ed Case,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""EdCaseHawaii"", ""id"": ""21737536""}, {""account_type"": ""office"", ""screen_name"": ""RepEdCase"", ""id"": ""1081350574589833221""}]",1952-09-27,M
K000396,Kaialiʻi Kahele,house,D,"[{""screen_name"": ""RepKahele"", ""id"": ""1351966874377056257"", ""account_type"": ""office""}, {""id"": ""4863545294"", ""screen_name"": ""kaikahele"", ""account_type"": ""campaign""}]",1974-03-28,M
G000571,Tulsi Gabbard,house,D,"[{""id"": ""26637348"", ""screen_name"": ""TulsiGabbard"", ""account_type"": ""campaign""}, {""id"": ""1064206014"", ""screen_name"": ""TulsiPress"", ""account_type"": ""office""}]",1981-04-12,F
F000467,Abby Finkenauer,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""Abby4Iowa"", ""id"": ""1262017122""}, {""account_type"": ""office"", ""screen_name"": ""RepFinkenauer"", ""id"": ""1081256295469068288""}]",1988-12-27,F
H001091,Ashley Hinson,house,R,"[{""id"": ""18189966"", ""screen_name"": ""hinsonashley"", ""account_type"": ""campaign""}, {""screen_name"": ""RepAshleyHinson"", ""id"": ""1340783304304410625"", ""account_type"": ""office""}]",1983-06-27,F
A000378,Cindy Axne,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepCindyAxne"", ""id"": ""1080865917377097728""}, {""account_type"": ""campaign"", ""screen_name"": ""Axne4Congress"", ""id"": ""867495243482058755""}]",1965-04-20,F
L000565,Dave Loebsack,house,D,"[{""id"": ""510516465"", ""screen_name"": ""daveloebsack"", ""account_type"": ""office""}, {""id"": ""583486767"", ""screen_name"": ""DaveForIowa"", ""account_type"": ""campaign""}]",1952-12-23,M
Y000066,David Young,house,R,"[{""id"": ""314205957"", ""screen_name"": ""RepDavidYoung"", ""account_type"": ""office""}, {""id"": ""1458792192"", ""screen_name"": ""YoungForIowa"", ""account_type"": ""campaign""}, {""id"": ""730397976149925888"", ""screen_name"": ""DavidYoungIA"", ""account_type"": ""campaign""}]",1968-05-11,M
M001215,Mariannette Miller-Meeks,house,R,"[{""id"": ""18131106"", ""screen_name"": ""millermeeks"", ""account_type"": ""campaign""}, {""screen_name"": ""RepMMM"", ""id"": ""1345807954604412929"", ""account_type"": ""office""}]",1955-09-06,F
F000446,Randy Feenstra,house,R,"[{""id"": ""23764160"", ""screen_name"": ""RandyFeenstra"", ""account_type"": ""campaign""}, {""screen_name"": ""RepFeenstra"", ""id"": ""1345135363761852416"", ""account_type"": ""office""}]",1969-01-14,M
B001294,Rod Blum,house,R,"[{""id"": ""58842416"", ""screen_name"": ""RodBlum"", ""account_type"": ""campaign""}, {""id"": ""2965083477"", ""screen_name"": ""RepRodBlum"", ""account_type"": ""office""}]",1955-04-26,M
K000362,Steve King,house,R,"[{""id"": ""48117116"", ""screen_name"": ""SteveKingIA"", ""account_type"": ""office""}, {""id"": ""194729373"", ""screen_name"": ""KingforCongress"", ""account_type"": ""campaign""}]",1949-05-28,M
S001148,Mike Simpson,house,R,"[{""id"": ""76132891"", ""screen_name"": ""CongMikeSimpson"", ""account_type"": ""office""}, {""id"": ""314223728"", ""screen_name"": ""MikeSimpson4ID"", ""account_type"": ""campaign""}]",1950-09-08,M
L000573,Raul Labrador,house,R,"[{""id"": ""56944812"", ""screen_name"": ""RaulLabrador4ID"", ""account_type"": ""campaign""}, {""id"": ""246341769"", ""screen_name"": ""Raul_Labrador"", ""account_type"": ""office""}]",1967-12-08,M
F000469,Russ Fulcher,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""RussFulcher"", ""id"": ""172944579""}, {""account_type"": ""office"", ""screen_name"": ""RepRussFulcher"", ""id"": ""1078741899572240384""}]",1973-07-19,M
K000378,Adam Kinzinger,house,R,"[{""id"": ""18004222"", ""screen_name"": ""AdamKinzinger"", ""account_type"": ""campaign""}, {""id"": ""219429281"", ""screen_name"": ""RepKinzinger"", ""account_type"": ""office""}]",1978-02-27,M
F000454,Bill Foster,house,D,"[{""id"": ""188403766"", ""screen_name"": ""Foster4Congress"", ""account_type"": ""campaign""}, {""id"": ""1080509366"", ""screen_name"": ""RepBillFoster"", ""account_type"": ""office""}]",1955-10-07,M
R000515,Bobby Rush,house,D,"[{""id"": ""305216911"", ""screen_name"": ""RepBobbyRush"", ""account_type"": ""office""}, {""id"": ""493429193"", ""screen_name"": ""BobbyLRushMC"", ""account_type"": ""campaign""}, {""id"": ""1197496992685051904"", ""screen_name"": ""bobbyrushfor1st"", ""account_type"": ""campaign""}]",1946-11-23,M
S001190,Brad Schneider,house,D,"[{""id"": ""278005891"", ""screen_name"": ""Schneider4IL10"", ""account_type"": ""campaign""}, {""id"": ""1071840474"", ""screen_name"": ""RepSchneider"", ""account_type"": ""office""}]",1961-08-20,M
B001286,Cheri Bustos,house,D,"[{""id"": ""257180565"", ""screen_name"": ""CheriBustos"", ""account_type"": ""campaign""}, {""id"": ""1092979962"", ""screen_name"": ""RepCheri"", ""account_type"": ""office""}]",1961-10-17,F
G000586,Chuy Garcia,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""ChuyForCongress"", ""id"": ""2847603597""}, {""account_type"": ""office"", ""screen_name"": ""RepChuyGarcia"", ""id"": ""1082427779583541248""}]",1956-04-12,M
L000563,Dan Lipinski,house,D,"[{""id"": ""1009269193"", ""screen_name"": ""RepLipinski"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""DanLipinski"", ""id"": ""950758571821629441"", ""prev_names"": [""DLipinski03""]}]",1966-07-15,M
D000096,Danny K. Davis,house,D,"[{""id"": ""789244177"", ""screen_name"": ""RepDannyDavis"", ""account_type"": ""office""}, {""id"": ""1217134603267399680"", ""screen_name"": ""DannyKDavis7th"", ""account_type"": ""campaign""}]",1941-09-06,M
L000585,Darin LaHood,house,R,"[{""id"": ""3107996233"", ""screen_name"": ""ElectLaHood"", ""account_type"": ""campaign""}, {""id"": ""3686482216"", ""screen_name"": ""RepLaHood"", ""account_type"": ""office""}]",1968-07-05,M
S001145,Jan Schakowsky,house,D,"[{""id"": ""24195214"", ""screen_name"": ""janschakowsky"", ""account_type"": ""office""}, {""account_type"": ""campaign"", ""screen_name"": ""RepSchakowsky"", ""id"": ""85896319""}]",1944-05-26,F
S000364,John Shimkus,house,R,"[{""id"": ""15600527"", ""screen_name"": ""RepShimkus"", ""account_type"": ""office""}, {""id"": ""4490291893"", ""screen_name"": ""JohnMShimkus"", ""account_type"": ""campaign""}]",1958-02-21,M
U000040,Lauren Underwood,house,D,"[{""account_type"": ""office"", ""screen_name"": ""RepUnderwood"", ""id"": ""1080539438508400642""}, {""account_type"": ""campaign"", ""screen_name"": ""LaurenUnderwood"", ""id"": ""872156132688711681""}]",1986-10-04,F
G000535,Luis Gutiérrez,house,D,"[{""id"": ""36948268"", ""screen_name"": ""RepGutierrez"", ""account_type"": ""office""}, {""id"": ""322013313"", ""screen_name"": ""LuisGutierrez"", ""account_type"": ""campaign""}]",1953-12-10,M
N000192,Marie Newman,house,D,"[{""id"": ""1270426374"", ""screen_name"": ""Marie4Congress"", ""account_type"": ""campaign""}, {""screen_name"": ""RepMarieNewman"", ""id"": ""1343578440977494018"", ""account_type"": ""office""}]",1964-04-13,F
M001211,Mary Miller,house,R,"[{""screen_name"": ""RepMaryMiller"", ""id"": ""1343656635907125250"", ""account_type"": ""office""}, {""id"": ""1180124969621168128"", ""screen_name"": ""Miller_Congress"", ""account_type"": ""campaign""}]",1959-08-27,F
B001295,Mike Bost,house,R,"[{""id"": ""2282437802"", ""screen_name"": ""BostForCongress"", ""account_type"": ""campaign""}, {""id"": ""2964877294"", ""screen_name"": ""RepBost"", ""account_type"": ""office""}]",1960-12-30,M
Q000023,Mike Quigley,house,D,"[{""id"": ""15949499"", ""screen_name"": ""QuigleyCampaign"", ""account_type"": ""campaign""}, {""id"": ""56864092"", ""screen_name"": ""RepMikeQuigley"", ""account_type"": ""office""}]",1958-10-17,M
R000580,Peter Roskam,house,R,"[{""id"": ""20015903"", ""screen_name"": ""PeterRoskam"", ""account_type"": ""office""}]",1961-09-13,M
K000391,Raja Krishnamoorthi,house,D,"[{""id"": ""62649021"", ""screen_name"": ""RajaForCongress"", ""account_type"": ""campaign""}, {""id"": ""814179031956488192"", ""screen_name"": ""CongressmanRaja"", ""account_type"": ""office""}]",1973-07-19,M
H001059,Randy Hultgren,house,R,"[{""id"": ""78387677"", ""screen_name"": ""RandyHultgren"", ""account_type"": ""campaign""}, {""id"": ""237814920"", ""screen_name"": ""RepHultgren"", ""account_type"": ""office""}]",1966-03-01,M
K000385,Robin Kelly,house,D,"[{""id"": ""38285038"", ""screen_name"": ""RobinLynneKelly"", ""account_type"": ""campaign"", ""prev_names"": [""Robin42CD""]}, {""id"": ""1339931490"", ""screen_name"": ""RepRobinKelly"", ""account_type"": ""office""}]",1956-04-30,F
D000619,Rodney Davis,house,R,"[{""id"": ""586076955"", ""screen_name"": ""ElectRodney"", ""account_type"": ""campaign""}, {""id"": ""993153006"", ""screen_name"": ""RodneyDavis"", ""account_type"": ""office""}]",1970-01-05,M
C001117,Sean Casten,house,D,"[{""account_type"": ""campaign"", ""screen_name"": ""SeanCasten"", ""id"": ""66804351""}, {""account_type"": ""office"", ""screen_name"": ""RepCasten"", ""id"": ""1083472286089396224""}, {""account_type"": ""campaign"", ""screen_name"": ""VoteCasten"", ""id"": ""955598085526360064""}]",1971-11-23,M
C001072,Andre Carson,house,D,"[{""id"": ""199325935"", ""screen_name"": ""RepAndreCarson"", ""account_type"": ""office""}, {""id"": ""267316393"", ""screen_name"": ""Andre4Congress"", ""account_type"": ""campaign""}]",1974-10-16,M
M001214,Frank Mrvan,house,D,"[{""screen_name"": ""RepMrvan"", ""id"": ""1346205046036377601"", ""account_type"": ""office""}]",1969-04-16,M
P000615,Greg Pence,house,R,"[{""account_type"": ""office"", ""screen_name"": ""RepGregPence"", ""id"": ""1082369392229400576""}, {""account_type"": ""campaign"", ""screen_name"": ""GregPenceIN"", ""id"": ""890038958104735744""}]",1956-11-14,M
W000813,Jackie Walorski,house,R,"[{""id"": ""14562874"", ""screen_name"": ""jackiewalorski"", ""account_type"": ""campaign""}, {""id"": ""137172797"", ""screen_name"": ""StandWithJackie"", ""account_type"": ""campaign""}, {""id"": ""1065995022"", ""screen_name"": ""RepWalorski"", ""account_type"": ""office""}]",1963-08-17,F
B001307,Jim Baird,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""ElectJimBaird"", ""id"": ""123563657""}, {""account_type"": ""office"", ""screen_name"": ""repjimbaird"", ""id"": ""1086316494450032640""}]",1945-06-04,M
B001299,Jim Banks,house,R,"[{""id"": ""14836282"", ""screen_name"": ""Jim_Banks"", ""account_type"": ""campaign""}, {""id"": ""816131319033950208"", ""screen_name"": ""RepJimBanks"", ""account_type"": ""office""}]",1979-07-16,M
B001275,Larry Bucshon,house,R,"[{""id"": ""80956768"", ""screen_name"": ""DrLarryBucshon"", ""account_type"": ""campaign""}, {""id"": ""234812598"", ""screen_name"": ""RepLarryBucshon"", ""account_type"": ""office""}]",1962-05-31,M
M001189,Luke Messer,house,R,"[{""id"": ""23013996"", ""screen_name"": ""LukeMesserIN"", ""account_type"": ""campaign""}, {""id"": ""1045853744"", ""screen_name"": ""RepLukeMesser"", ""account_type"": ""office""}]",1969-02-27,M
V000108,Pete Visclosky,house,D,"[{""id"": ""193872188"", ""screen_name"": ""RepVisclosky"", ""account_type"": ""office""}, {""id"": ""3282677347"", ""screen_name"": ""TeamVisclosky"", ""account_type"": ""campaign""}]",1949-08-13,M
B001284,Susan Brooks,house,R,"[{""id"": ""344201516"", ""screen_name"": ""SusanBrooksIN"", ""account_type"": ""campaign"", ""deleted"": true}, {""id"": ""1074101017"", ""screen_name"": ""SusanWBrooks"", ""account_type"": ""office""}]",1960-08-25,F
R000592,Todd Rokita,house,R,"[{""id"": ""17544524"", ""screen_name"": ""ToddRokita"", ""account_type"": ""office""}, {""id"": ""110456022"", ""screen_name"": ""ToddRokitaIN"", ""account_type"": ""campaign""}]",1970-02-09,M
H001074,Trey Hollingsworth,house,R,"[{""id"": ""3431000296"", ""screen_name"": ""VoteForTrey"", ""account_type"": ""campaign""}, {""id"": ""811986281177772032"", ""screen_name"": ""RepTrey"", ""account_type"": ""office""}]",1983-09-12,M
S000929,Victoria Spartz,house,R,"[{""id"": ""1205364420"", ""screen_name"": ""Victoria_Spartz"", ""account_type"": ""campaign""}, {""screen_name"": ""RepSpartz"", ""id"": ""1344845201479663621"", ""account_type"": ""office""}]",1978-10-06,F
L000266,Jacob LaTurner,house,R,"[{""screen_name"": ""RepLaTurner"", ""id"": ""1345850704800468993"", ""account_type"": ""office""}, {""id"": ""1082329240681492481"", ""screen_name"": ""JakeLaTurner"", ""account_type"": ""campaign""}]",1988-02-17,M
Y000063,Kevin Yoder,house,R,"[{""id"": ""26324609"", ""screen_name"": ""KevinYoder"", ""account_type"": ""campaign""}, {""id"": ""252819642"", ""screen_name"": ""RepKevinYoder"", ""account_type"": ""office""}]",1976-01-08,M
J000290,Lynn Jenkins,house,R,"[{""id"": ""19658173"", ""screen_name"": ""RepLynnJenkins"", ""account_type"": ""office""}, {""id"": ""75378219"", ""screen_name"": ""lynnjenkins"", ""account_type"": ""campaign""}]",1963-06-10,F
E000298,Ron Estes,house,R,"[{""id"": ""854715071116849157"", ""screen_name"": ""RepRonEstes"", ""account_type"": ""office""}, {""id"": ""722555010588872705"", ""screen_name"": ""RonEstesKS"", ""account_type"": ""campaign""}]",1956-07-19,M
D000629,Sharice Davids,house,D,"[{""account_type"": ""office"", ""screen_name"": ""repdavids"", ""id"": ""1080516116395499522""}, {""account_type"": ""campaign"", ""screen_name"": ""sharicedavids"", ""id"": ""950952511556538368""}]",1980-05-22,F
W000824,Steve Watkins,house,R,"[{""account_type"": ""campaign"", ""screen_name"": ""Steve4Kansas"", ""id"": ""129259273""}, {""account_type"": ""office"", ""screen_name"": ""Rep_Watkins"", ""id"": ""1080307235350241280""}]",1976-09-18,M
